STATE,CITY,AREA,CRAWL DATE, HOTEL RATING,SPECIAL ADDED VALUE,HOTELS LOCATION RATING,EXCELLENT EXPERIENCE REPORTED BY VISITORS,AVERAGE EXPERIENCE REPORTED BY VISITOR,POOR EXPERIENCE REPORTED BY VISITORS,TERRIBLE EXPERIENCE REPROTED BY VISITOR,PROPERTY TYPE,QUERY DATE,QUERY TIME,RATING BASED ON VALUE FOR MONEY,RATING BASED ON FOOD,APPROVAL RATING
Jammu and Kashmir,Jammu,Jammu-Pathankot Highway NH-1A,04-09-2016,4,no,4.2,14,1,2,1,Hotel,04-09-2016,7.00.35 PM,4.3,2.9,68.125
Kerala,Palakkad,Robinson,04-09-2016,3,no,4.6,22,6,2,0,Hotel,04-09-2016,7.00.35 PM,4.3,1.9,68.375
Maharashtra,Nagpur,Central avenue,04-09-2016,1,no,3.8,3,6,18,1,Hotel,04-09-2016,7.00.35 PM,2.8,2,50.5
Himachal Pradesh,Manali,Loghut Road,04-09-2016,2,no,4.6,23,4,3,0,Hotel,04-09-2016,7.00.35 PM,4.5,1.4,68.25
Kerala,Munnar,Suryanelli,04-09-2016,3,no,4.2,26,15,8,3,Hotel,04-09-2016,7.00.35 PM,4,3.7,65.125
West Bengal,Kolkata,Ballygunge,04-09-2016,3,no,4.1,15,17,7,3,Hotel,04-09-2016,7.00.35 PM,3.5,2.9,60.125
kerala,Munnar,Kunchithanny,04-09-2016,3,no,4.6,9,0,2,0,Hotel,04-09-2016,7.00.35 PM,4.5,4.2,71.75
Uttaranchal,Nainital,Mallital,04-09-2016,2,no,2.8,1,3,3,1,Hotel,04-09-2016,7.00.35 PM,2.8,0.8,45
Madhya Pradesh,Orchha,Chaturbhuj,04-09-2016,1,no,4.9,8,1,0,0,Hotel,04-09-2016,7.00.35 PM,4.8,1.7,71.625
Kerala,Kovalam and Poovar,Hawa Beach,04-09-2016,3,no,4.6,20,23,19,10,Hotel,04-09-2016,7.00.35 PM,3.3,2.9,59.125
Karnataka,Mysore,Central Mysore,04-09-2016,4,no,4.8,117,24,6,1,Hotel,04-09-2016,7.00.35 PM,4.5,2.1,71.125
West Bengal,Kolkata,Airport Area,04-09-2016,3,no,4.6,25,7,5,0,Hotel,04-09-2016,7.00.35 PM,4,2.8,65
Tamil Nadu,Kanyakumari,West Carr,04-09-2016,3,no,0,5,0,0,0,Hotel,04-09-2016,7.00.35 PM,0,0,24
kerala,Munnar,Munnar Road,04-09-2016,3,no,3.9,10,4,1,2,Hotel,04-09-2016,7.00.35 PM,4,4.2,65.25
Andhra Pradesh,Hyderabad,Central Hyderabad,04-09-2016,2,no,3.7,6,10,2,2,Hotel,04-09-2016,7.00.35 PM,3.9,3.2,59.5
kerala,Munnar,Anachal,04-09-2016,3,no,4.8,6,0,0,0,Hotel,04-09-2016,7.00.35 PM,5,3.2,73
Goa,Goa,South Goa,28-08-2016,2,yes,4.3,11,3,1,1,Hotel,28-08-2016,4.13.39 PM,4.3,2.9,68.625
Uttar Pradesh,Agra,The Agra Fort,28-08-2016,5,no,5,2,0,0,0,Hotel,28-08-2016,4.13.39 PM,4.5,0,70
Rajasthan,Ajmer,Diggi Bazaar,28-08-2016,3,yes,4.6,131,13,4,0,Hotel,28-08-2016,4.13.39 PM,4.6,2.8,73
Haryana,New Delhi And NCR,DLF Phase 2,28-08-2016,2,no,5,1,0,0,0,Hotel,28-08-2016,4.13.39 PM,4,0,70
kerala,Allepey,Beach Road,28-08-2016,2,yes,4.3,8,12,8,1,Hotel,28-08-2016,4.13.39 PM,3.5,2.3,52.875
Maharashtra,Pune,Bund Garden Road,28-08-2016,4,no,4.8,148,58,19,1,Hotel,28-08-2016,4.13.39 PM,4.2,3,69.75
Delhi,New Delhi And NCR,South Delhi,28-08-2016,3,no,3.6,0,3,1,1,Hotel,28-08-2016,4.13.39 PM,3.1,0,49
Delhi,New Delhi And NCR,Karol Bagh,28-08-2016,3,no,3.5,2,1,1,0,Hotel,28-08-2016,4.13.39 PM,4,0,46.5
Maharasta,Mumbai,Andheri (East),28-08-2016,2,no,3.2,8,23,22,18,Hotel,28-08-2016,4.13.39 PM,3.1,2.7,48.875
Goa,Goa,North Goa,28-08-2016,1,no,4.2,66,52,10,1,Hotel,28-08-2016,4.13.39 PM,4.3,3.6,67.5
Rajasthan,Jaipur,Shastri Nagar,28-08-2016,3,no,3.5,6,0,2,4,Hotel,28-08-2016,4.13.39 PM,3.5,1.3,51.125
Uttrakhand,Nainital,Sattal,28-08-2016,4,no,4.2,19,4,1,0,Hotel,28-08-2016,4.13.39 PM,4.4,2.6,69.25
New Delhi,New Delhi And NCR,New Delhi Railway Station,28-08-2016,3,yes,4.2,18,8,10,1,Hotel,28-08-2016,4.13.39 PM,4,2.7,62.875
Delhi,New Delhi And NCR,Karol Bagh,28-08-2016,3,no,4.5,5,4,1,0,Hotel,28-08-2016,4.13.39 PM,3.9,3.2,52
Delhi,New Delhi And NCR,Karol Bagh,28-08-2016,3,no,3.9,119,69,21,6,Hotel,28-08-2016,4.13.39 PM,4.2,3.5,65.875
Haryana,New Delhi And NCR,Gurgaon,28-08-2016,4,no,4,0,0,1,0,Hotel,28-08-2016,4.13.39 PM,2,0,40
Maharashtra,Mumbai,Khar,28-08-2016,3,no,4.5,55,44,37,11,Hotel,28-08-2016,4.13.39 PM,3.4,2.5,60.625
Andhra Pradesh,Vijaywada,M.G. Road,28-08-2016,3,no,4.7,17,9,2,1,Hotel,28-08-2016,4.13.39 PM,4.2,3.3,69.125
Karnataka,Bangalore,Richmond,28-08-2016,1,no,4.6,5,8,5,1,Hotel,28-08-2016,4.13.39 PM,3.6,2.1,60.625
Haryana,New Delhi And NCR,Faridabad,28-08-2016,5,no,4.5,48,5,3,1,Hotel,28-08-2016,4.13.39 PM,4.3,2.8,67
Delhi,New Delhi And NCR,South Delhi,28-08-2016,5,no,4,0,0,0,0,Hotel,28-08-2016,4.13.39 PM,4,4,65
Delhi,New Delhi And NCR,Karol Bagh,28-08-2016,1,no,4.4,2,1,4,0,Hotel,28-08-2016,4.13.39 PM,3.3,0,56.5
Gujarat,Ahmedabad,CG Road,28-08-2016,3,no,4.8,20,3,3,0,Hotel,28-08-2016,4.13.39 PM,4.4,2.7,69.375
New Delhi,New Delhi And NCR,Gurgaon,28-08-2016,5,no,4.9,16,1,0,0,Hotel,28-08-2016,4.13.39 PM,4.9,3.1,64.375
Uttar Pradesh,Agra,Yamuna Bank,28-08-2016,3,no,4.3,33,10,0,1,Hotel,28-08-2016,4.13.39 PM,4.3,3.1,69.375
Maharashtra,Mumbai,Andheri (East),28-08-2016,2,no,4.3,19,4,14,0,Hotel,28-08-2016,4.13.39 PM,3.8,1.8,58.25
Kerala,Wayanad,Muthangya,28-08-2016,2,no,4,2,3,2,0,Hotel,28-08-2016,4.13.39 PM,3.6,2.3,57.875
Haryana,New Delhi And NCR,Gurgaon,28-08-2016,3,no,4.4,4,2,0,0,Hotel,28-08-2016,4.13.39 PM,4.1,2.7,69.375
Rajasthan,Jaipur,Jaipur Sindhi Camp Bus Stand,28-08-2016,0,no,4.2,11,2,3,0,Palace,28-08-2016,4.13.39 PM,4.3,3.2,69
Punjab,Amritsar,Golden Temple,22-08-2016,2,yes,4.8,3,1,1,0,Hotel,22-08-2016,10.10.53 PM,3.9,1.2,66
Maharashtra,Aurangabad,Jalna Road,22-08-2016,3,no,4.5,26,5,5,1,Hotel,22-08-2016,10.10.53 PM,4.3,1.7,67.125
